Manufacturer,Model Name,Model Code,RAM (TotalMem),Form Factor,System on Chip,Screen Sizes,Screen Densities,ABIs,Android SDK Versions,OpenGL ES Versions;;;;;;;;
Oppo,CPH1725,CPH1725,2778MB,Phone,Mediatek MT6763T,1080x2160,480,arm64-v8a;armeabi-v7a;armeabi,25,3.2;;;;;;
Oppo,R819T,R819T,964MB,Phone,Mediatek MT6589,720x1280,320,armeabi-v7a;armeabi,17,2.0;;;;;;;
Oppo,R829,R829,960MB,Phone,Mediatek MT6582,720x1280,320,armeabi-v7a;armeabi,17,2.0;;;;;;;
Oppo,PACM00,PACM00,5713MB,Phone,Mediatek MT6771,1080x1920,480,arm64-v8a;armeabi-v7a;armeabi,27,3.2;;;;;;
Oppo,R9sk,R9sk,3594-3595MB,Phone,Qualcomm MSM8953,1080x1920,480,arm64-v8a;armeabi-v7a;armeabi,23;25,3.1;3.ﬁub;;;;
Oppo,R850,R850,,Phone,Mediatek MT6582,540x960,240,armeabi-v7a;armeabi,17,2.0;;;;;;;
Oppo,R831K,R831K,976MB,Phone,Mediatek MT6582,480x854,240,armeabi-v7a;armeabi,17,2.0;;;;;;;
Oppo,R9 Plus,R9PlusA,3595MB,Phone,Qualcomm MSM8976,1080x1920,480,arm64-v8a;armeabi-v7a;armeabi,22;23,3.1;;;;;
Oppo,R9Plus,X9079,3599-3606MB,Phone,Qualcomm MSM8976,1080x1920,480,arm64-v8a;armeabi-v7a;armeabi,22;23,3.1;;;;;
Oppo,X9009,X9009,3787-3800MB,Phone,Mediatek MT6755,1080x1920,480,arm64-v8a;armeabi-v7a;armeabi,22;23,3.0;;;;;
Oppo,CPH1861,CPH1861,2698MB,Phone,Mediatek MT6771,1080x1920,480,arm64-v8a;armeabi-v7a;armeabi,27,3.2;;;;;;
Oppo,CPH1729,CPH1729,2791MB,Phone,Mediatek MT6763,720x1440,320,arm64-v8a;armeabi-v7a;armeabi,25,3.2;;;;;;
Oppo,R11,R11,3746MB,Phone,Qualcomm SDM660,1080x1920,480,arm64-v8a;armeabi-v7a;armeabi,25,3.2;;;;;;
Oppo,R819,R819,964MB,Phone,Mediatek MT6589,720x1280,320,armeabi-v7a;armeabi,17,2.0;;;;;;;
Oppo,R9,R9,1944-3767MB,Phone,Mediatek MT6755,1080x1920,480,arm64-v8a;armeabi-v7a;armeabi,22;23,3.0;;;;;
Oppo,R7g,R7f,1889-2930MB,Phone,Qualcomm MSM8939,1080x1920,320;480,arm64-v8a;armeabi-v7a;armeabi,19;22;23,3.0;3.Oca;;
Oppo,X9000,X9000,1803-1835MB,Phone,Qualcomm MSM8974,1080x1920,480,armeabi-v7a;armeabi,18;21,3.0;;;;;;
Oppo,X909,FIND5,1883-1928MB,Phone,Qualcomm APQ8064,1080x1920,480,armeabi-v7a;armeabi,16;17,2.0;;;;;;
Oppo,X909,X909,1928MB,Phone,Qualcomm MSM8260,1080x1920,480,armeabi-v7a;armeabi,17,2.0;;;;;;;
Oppo,X909,X909T,1928MB,Phone,Qualcomm MSM8260,1080x1920,480,armeabi-v7a;armeabi,17,2.0;;;;;;;
Oppo,CPH1801,CPH1801,1837MB,Phone,Qualcomm SDM450,720x1280,320,arm64-v8a;armeabi-v7a;armeabi,25,3.2;;;;;;
Oppo,CPH1605,CPH1605,2787-2882MB,Phone,Mediatek MT6750,720x1280,320,arm64-v8a;armeabi-v7a;armeabi,22;23,3.0;;;;;
Oppo,X9076,X9076,2819-2851MB,Phone,Qualcomm MSM8974,1440x2560,640,armeabi-v7a;armeabi,18;19;21;22,3.0;;;;
Oppo,R831,R831,468MB,Phone,Mediatek MT6572,480x854,240,armeabi-v7a;armeabi,17,2.0;;;;;;;
Oppo,R831,R831T,,Phone,Mediatek MT6572,480x854,240,armeabi-v7a;armeabi,17,2.0;;;;;;;
Oppo,X9077,X9077,752-2851MB,Phone,Qualcomm MSM8974AC,1440x2560,640,armeabi-v7a;armeabi,18;19;21,3.0;;;;;
Oppo,X9077,FIND7,2850MB,Phone,Qualcomm MSM8974AC,1440x2560,640,armeabi-v7a;armeabi,19,3.0;;;;;;;
Oppo,CPH1701,CPH1701,2834MB,Phone,Qualcomm MSM8940,720x1280,320,arm64-v8a;armeabi-v7a;armeabi,23,3.1;;;;;;
Oppo,CPH1723,CPH1723,3786MB,Phone,Mediatek MT6763T,1080x2160,480,arm64-v8a;armeabi-v7a;armeabi,25,3.2;;;;;;
Oppo,CPH1613,CPH1613,3852MB,Phone,Qualcomm MSM8976SG,1080x1920,480,arm64-v8a;armeabi-v7a;armeabi,23;25,3.1;3.ﬁub;;;;
Oppo,PADT00,PADT00,3704MB,Phone,Mediatek MT6771,1080x1920,480,arm64-v8a;armeabi-v7a;armeabi,27,3.2;;;;;;
Oppo,CPH1721,CPH1721,5742MB,Phone,Qualcomm SDM660,1080x2160,480,arm64-v8a;armeabi-v7a;armeabi,25,3.2;;;;;;
Oppo,CPH1609,CPH1609,3789-3815MB,Phone,Mediatek MT6750T,1080x1920,480,arm64-v8a;armeabi-v7a;armeabi,23;25,3.0;3.ﬁub;;;;
Oppo,CPH1727,CPH1727,5796MB,Phone,Mediatek MT6763T,1080x2160,480,arm64-v8a;armeabi-v7a;armeabi,25,3.2;;;;;;
Oppo,R827,R827,969MB,Phone,Mediatek MT6582,720x1280,240,armeabi-v7a;armeabi,17,2.0;;;;;;;
Oppo,R2001,R2001,969MB,Phone,Mediatek MT6582M,540x960,240,armeabi-v7a;armeabi,17,2.0;;;;;;;
Oppo,R830,R830,468MB,Phone,Mediatek MT6572,480x854,240,armeabi-v7a;armeabi,17,2.0;;;;;;;
Oppo,CPH1807,CPH1807,2791MB,Phone,Mediatek MT6763,720x1440,320,arm64-v8a;armeabi-v7a;armeabi,25,3.2;;;;;;
Oppo,R1001,R1001,470MB,Phone,Mediatek MT6582,480x800,240,armeabi-v7a;armeabi,17,2.0;;;;;;;
Oppo,R1001,OPPO72_13076,470MB,Phone,Mediatek MT6582,480x800,240,armeabi-v7a;armeabi,17,2.0;;;;;;;
Oppo,A1601,A1601,2785-2820MB,Phone,Mediatek MT6750,720x1280,320,arm64-v8a;armeabi-v7a;armeabi,22;23,3.0;;;;;
Oppo,R9s Plus,R9sPlus,5880MB,Phone,Qualcomm MSM8976SG,1080x1920,480,arm64-v8a;armeabi-v7a;armeabi,23;25,3.1;3.ﬁub;;;;
Oppo,R9s Plus,CPH1611,5880MB,Phone,Qualcomm MSM8976SG,1080x1920,480,arm64-v8a;armeabi-v7a;armeabi,23;25,3.1;3.ﬁub;;;;
Oppo,CPH1819,CPH1819,3704MB,Phone,Mediatek MT6771,1080x1920,480,arm64-v8a;armeabi-v7a;armeabi,27,3.2;;;;;;
Oppo,CPH1719,CPH1719,3744MB,Phone,Qualcomm SDM660,1080x2160,480,arm64-v8a;armeabi-v7a;armeabi,25,3.2;;;;;;
Oppo,CPH1827,CPH1827,1790MB,Phone,Mediatek MT6763,720x1440,320,arm64-v8a;armeabi-v7a;armeabi,25,3.2;;;;;;
Oppo,R11s,R11s,3744MB,Phone,Qualcomm SDM660,1080x2160,480,arm64-v8a;armeabi-v7a;armeabi,25,3.2;;;;;;
Oppo,X9070,X9070,2849-2851MB,Phone,Qualcomm MSM8974AC,1440x2560,640,armeabi-v7a;armeabi,18;21,3.0;;;;;;
Oppo,PACT00,PACT00,5713MB,Phone,Mediatek MT6771,1080x1920,480,arm64-v8a;armeabi-v7a;armeabi,27,3.2;;;;;;
Oppo,CPH1705,CPH1705,2839MB,Phone,Mediatek MT6750T,1080x1920,480,arm64-v8a;armeabi-v7a;armeabi,23,3.0;;;;;;
Oppo,CPH1821,CPH1821,5714MB,Phone,Mediatek MT6771,1080x1920,480,arm64-v8a;armeabi-v7a;armeabi,27,3.2;;;;;;
Oppo,N3,N3,1834MB,Phone,Qualcomm MSM8974AA,1080x1920,480,armeabi-v7a;armeabi,19,3.0;;;;;;;
Oppo,N1T,N1T,1928MB,Phone,Qualcomm APQ8064,1080x1920,480,armeabi-v7a;armeabi,17,2.0;;;;;;;
Oppo,PADM00,PADM00,3704MB,Phone,Mediatek MT6771,1080x1920,480,arm64-v8a;armeabi-v7a;armeabi,27,3.2;;;;;;
Oppo,PAAT00,PAAT00,5740MB,Phone,Qualcomm SDM660,1080x1920,480,arm64-v8a;armeabi-v7a;armeabi,27,3.2;;;;;;
Oppo,CPH1859,CPH1859,5716MB,Phone,Mediatek MT6771,1080x1920,480,arm64-v8a;armeabi-v7a;armeabi,27,3.2;;;;;;
Oppo,R833T,OPPO82_13067,,Phone,Mediatek MT6582,480x800,240,armeabi-v7a;armeabi,17,2.0;;;;;;;
Oppo,CPH1835,CPH1835,5713MB,Phone,Mediatek MT6771,1080x1920,480,arm64-v8a;armeabi-v7a;armeabi,27,3.2;;;;;;
Oppo,PAAM00,PAAM00,5740MB,Phone,Qualcomm SDM660,1080x1920,480,arm64-v8a;armeabi-v7a;armeabi,27,3.2;;;;;;
Oppo,R7sfg,R7sf,3645MB,Phone,Qualcomm MSM8939,1080x1920,480,arm64-v8a;armeabi-v7a;armeabi,22;23,3.0;3.Oca;;;;
Oppo,CPH1717,CPH1717,2880MB,Phone,Mediatek MT6750,720x1280,320,arm64-v8a;armeabi-v7a;armeabi,25,3.2;;;;;;
Oppo,X9006,X9006,1803-1835MB,Phone,Qualcomm MSM8974,1080x1920,480,armeabi-v7a;armeabi,18;19;21;22,3.0;;;;
Oppo,N1,N1,1922-1928MB,Phone,Qualcomm APQ8064,1080x1920,480,armeabi-v7a;armeabi,17;18;19,2.0;3.0;;;;
Oppo,R5,R5,460-1914MB,Phone,Qualcomm MSM8939,1080x1920,480,armeabi-v7a;armeabi,19;22,3.0;;;;;;
Oppo,R11sPlus,R11sPlus,5742MB,Phone,Qualcomm SDM660,1080x2160,480,arm64-v8a;armeabi-v7a;armeabi,25,3.2;;;;;;
Oppo,CPH1715,CPH1715,3789-3815MB,Phone,Mediatek MT6750T,1080x1920,480,arm64-v8a;armeabi-v7a;armeabi,23;25,3.0;3.ﬁub;;;;
Oppo,R11 Plus,R11Plus,5744MB,Phone,Qualcomm SDM660,1080x1920,480,arm64-v8a;armeabi-v7a;armeabi,25,3.2;;;;;;
Oppo,CPH1707,CPH1707,3746MB,Phone,Qualcomm SDM660,1080x1920,480,arm64-v8a;armeabi-v7a;armeabi,25,3.2;;;;;;
Oppo,CPH1831,CPH1831,5740MB,Phone,Qualcomm SDM660,1080x1920,480,arm64-v8a;armeabi-v7a;armeabi,27,3.2;;;;;;
Oppo,R11 Plusk,R11Plusk,5744MB,Phone,Qualcomm SDM660,1080x1920,480,arm64-v8a;armeabi-v7a;armeabi,25,3.2;;;;;;
Oppo,X9007,X9007,1803-1835MB,Phone,Qualcomm MSM8974AB,1080x1920,480,armeabi-v7a;armeabi,18;19;21,3.0;;;;;
Opticon,H-27,H-27,,Phone,Qualcomm MSM8960,480x800,213,armeabi-v7a;armeabi,17,2.0;;;;;;;
Orange,Nura,M812,848MB,Phone,Qualcomm MSM8926,720x1280,320,armeabi-v7a;armeabi,19,3.0;;;;;;;
Orange,Nura2,m823_orange,1894MB,Phone,Qualcomm MSM8939,1080x1920,480,arm64-v8a;armeabi-v7a;armeabi,21,3.0;;;;;;
Orbic,R370H,R370H,1024MB,Tablet,Rockchip RK3168,1024x600,160,armeabi-v7a;armeabi,17,2.0;;;;;;;
Orbic,Wonder,RC555L,1858MB,Phone,Qualcomm MSM8937,1080x1920,480,arm64-v8a;armeabi-v7a;armeabi,25,3.2;;;;;;
Oukitel,WP5000,WP5000,5828MB,Phone,Mediatek MT6757,720x1440,320,arm64-v8a;armeabi-v7a;armeabi,25,3.2;;;;;;
Oukitel,K5000,K5000,3828MB,Phone,Mediatek MT6750,720x1440,320,arm64-v8a;armeabi-v7a;armeabi,24,3.2;;;;;;
Oukitel,K10,K10,5784MB,Phone,Mediatek MT6753,1080x2160,480,arm64-v8a;armeabi-v7a;armeabi,25,3.2;;;;;;
Oukitel,OK6000 PLUS,OK6000_Plus,3813MB,Phone,Mediatek MT6750,1080x1920,480,arm64-v8a;armeabi-v7a;armeabi,24,3.2;;;;;;
Oukitel,K8000,K8000,3828MB,Phone,Mediatek MT6750,720x1280,320,arm64-v8a;armeabi-v7a;armeabi,24,3.2;;;;;;
Oukitel,K6,K6,5794MB,Phone,Mediatek MT6763,1080x2160,480,arm64-v8a;armeabi-v7a;armeabi,25,3.2;;;;;;
Oukitel,Coosea,K3,3815MB,Phone,Mediatek MT6750T,1080x1920,480,arm64-v8a;armeabi-v7a;armeabi,24,3.2;;;;;;
Oukitel,K10000_Max,K10000_Max,2876MB,Phone,Mediatek MT6753,1080x1920,480,armeabi-v7a;armeabi,24,3.1;;;;;;;
OwnMobile,OWN Smart √ñ2,SMART_O2,930MB,Phone,Mediatek MT6737,720x1280,320,armeabi-v7a;armeabi,23,3.0;;;;;;;
OwnMobile,Smart 9 Pro,Smart_9_Pro,5775MB,Phone,Mediatek MT6771,1080x2246,480,arm64-v8a;armeabi-v7a;armeabi,27,3.2;;;;;;
Panasonic,EB-4063-X,EB-4063-X,1747MB,Phone,Qualcomm APQ8064,1080x1920,480,armeabi-v7a;armeabi,16,2.0;;;;;;;
Panasonic,FZ-N1VUCL,FZ-N1VUCL,1868MB,Phone,Qualcomm MSM8974AB,720x1280,320,armeabi-v7a;armeabi,23,3.0;;;;;;;
Panasonic,LUMIX CM1,DMC-CM1,1831-1862MB,Phone,Qualcomm MSM8974AB,1080x1920,480,armeabi-v7a;armeabi,19;21,3.0;;;;;;
Panasonic,ELUGA X,P-02E,1747MB,Phone,Qualcomm APQ8064,1080x1920,480,armeabi-v7a;armeabi,16,2.0;;;;;;;
Panasonic,FZ-X1,FZ-X1,1789MB,Phone,Qualcomm APQ8064AU,720x1280,320,armeabi-v7a;armeabi,17;22,2.0;3.0;;;;;
Panasonic,FZ-X1,FZ-X1VU,1789-1790MB,Phone,Qualcomm APQ8064AU,720x1280,320,armeabi-v7a;armeabi,17;22,2.0;3.0;;;;;
Panasonic,FZ-X1,FZ-X1VUC,1789MB,Phone,Qualcomm APQ8064AU,720x1280,320,armeabi-v7a;armeabi,17;22,2.0;3.0;;;;;
Panasonic,FZ-N1F,FZ-N1F,1868MB,Phone,Qualcomm MSM8974AB,720x1280,320,armeabi-v7a;armeabi,23,3.0;;;;;;;
Panasonic,FZ-B2D,fz_b2d,1887MB,Tablet,Intel Z8550,1280x800,213,x86_64;x86;arm64-v8a;armeabi-v7a;armeabi,23,3.1;;;;
Panasonic,Eco9 v2,Ecov2,879-997MB,Tablet,Freescale i.MX6,1024x600,120,armeabi-v7a;armeabi,17;19;22,2.0;3.0;;;;
Panasonic,FZ-N1,FZ-N1,1868-1870MB,Phone,Qualcomm MSM8974AC,720x1280,320,armeabi-v7a;armeabi,22;23,3.0;;;;;;
Panasonic,FZ-N1,FZ-N1VU,1868-1870MB,Phone,Qualcomm MSM8974AC,720x1280,320,armeabi-v7a;armeabi,22;23,3.0;;;;;;
Panasonic,FZ-N1,FZ-N1VUC,1868-1870MB,Phone,Qualcomm MSM8974AC,720x1280,320,armeabi-v7a;armeabi,22;23,3.0;;;;;;
Panasonic,FZ-N1,FZ-N1VUF,1868MB,Phone,Qualcomm MSM8974AC,720x1280,320,armeabi-v7a;armeabi,23,3.0;;;;;;;
Panasonic,FZ-N1,FZ-N1VUCF,1868MB,Phone,Qualcomm MSM8974AB,720x1280,320,armeabi-v7a;armeabi,23,3.0;;;;;;;
Panasonic,FZ-N1,FZ-N1VUCCL,1868MB,Phone,Qualcomm MSM8974AB,720x1280,320,armeabi-v7a;armeabi,23,3.0;;;;;;;
Panasonic,FZ-N1,FZ-N1CL,1868MB,Phone,Qualcomm MSM8974AB,720x1280,320,armeabi-v7a;armeabi,23,3.0;;;;;;;
Panasonic,JT-B1,B1,,Tablet,TI OMAP4460,600x1024,160,armeabi-v7a;armeabi,15,2.0;;;;;;;
Panasonic,ELUGA P,P-03E,1735MB,Phone,Qualcomm APQ8064T,1080x1920,480,armeabi-v7a;armeabi,17,2.0;;;;;;;
Panasonic,ELUGA U2,ELUGA_U2,1910MB,Phone,Qualcomm MSM8916,720x1280,320,armeabi-v7a;armeabi,21,3.0;;;;;;;
Panasonic,ELUGA U,ELUGA_U,1896MB,Phone,Qualcomm MSM8226,720x1280,320,armeabi-v7a;armeabi,19,3.0;;;;;;;
Panasonic,ELUGA V,P-06D,,Phone,TI OMAP4460,720x1280,320,armeabi-v7a;armeabi,15,2.0;;;;;;;
Panasonic,ELUGA Power,P-07D,,Phone,Qualcomm MSM8960,1280x720,320,armeabi-v7a;armeabi,15,2.0;;;;;;;
Panasonic,FZ-B2,fz_b2bb,1864MB,Tablet,Intel N2930,1280x800,213,x86;armeabi-v7a;armeabi,19,3.0;;;;;;
Panasonic,Elite 11,Elite11,997MB,Tablet,Freescale i.MX6,1366x768;1368x768,120;160,armeabi-v7a;armeabi,16;17;19;22,2.0;3.0;
Panasonic,FZ-A2A,fz_a2a,3827MB,Tablet,Intel Z8000,1920x1200,213,x86_64;x86;arm64-v8a;armeabi-v7a;armeabi,23,3.1;;;;
Panasonic,ELUGA C,Panasonic_ELUGA_C,3828MB,Phone,Mediatek MT6750,720x1280,320,arm64-v8a;armeabi-v7a;armeabi,24,3.2;;;;;;
Panasonic,Eluga Ray 710,ELUGA_Ray_710,2856MB,Phone,Qualcomm MSM8937,720x1440,320,arm64-v8a;armeabi-v7a;armeabi,27,3.2;;;;;;
Panasonic,TAB-A02,TAB-A02,1927MB,Tablet,Marvell PXA1928,800x1280,160,arm64-v8a;armeabi-v7a;armeabi,22,3.0;;;;;;
Pantech,AT1,at1,,Phone,Qualcomm MSM8260,800x480,160,armeabi-v7a;armeabi,10;15,2.0;;;;;;
Pantech,IM-A830L,ef46l,792MB,Phone,Qualcomm MSM8960,720x1280,320,armeabi-v7a;armeabi,15;16,2.0;;;;;;
Pantech,IM-A880S,EF56S,1857-1865MB,Phone,Qualcomm MSM8974,1080x1920,480,armeabi-v7a;armeabi,17;19,2.0;3.0;;;;;
Pantech,IM-A830K,ef45k,792MB,Phone,Qualcomm MSM8960,720x1280,320,armeabi-v7a;armeabi,15;16,2.0;;;;;;
Pantech,IM-A850K,ef49k,1895-1953MB,Phone,Qualcomm APQ8064,720x1280,320,armeabi-v7a;armeabi,15;16;19,2.0;3.0;;;;
Pantech,IM-A860L,ef51l,1875-1940MB,Phone,Qualcomm APQ8064,1080x1920,480,armeabi-v7a;armeabi,16;19,2.0;3.0;;;;;
Pantech,IM-A850L,ef50l,1895-1953MB,Phone,Qualcomm APQ8064,720x1280,320,armeabi-v7a;armeabi,15;16;19,2.0;3.0;;;;
Pantech,IM-A910S,ef63s,2856MB,Phone,Qualcomm MSM8974AA,1080x1920,480,armeabi-v7a;armeabi,19,3.0;;;;;;;
Pantech,IM-A870S,ef52s,1895-1953MB,Phone,Qualcomm APQ8064,720x1280,320,armeabi-v7a;armeabi,16;19,2.0;3.0;;;;;
Pantech,VEGA Secret Note,EF59L,2872-2881MB,Phone,Qualcomm MSM8974,1080x1920,480,armeabi-v7a;armeabi,17;19,2.0;3.0;;;;;
Pantech,VEGA Secret Note,EF59K,2872-2881MB,Phone,Qualcomm MSM8974,1080x1920,480,armeabi-v7a;armeabi,17;19,2.0;3.0;;;;;
Pantech,VEGA Secret Note,EF59S,2872-2881MB,Phone,Qualcomm MSM8974,1080x1920,480,armeabi-v7a;armeabi,17;19,2.0;3.0;;;;;
Pantech,IM-A810S,ef40s,741MB,Phone,Qualcomm APQ8060,1280x800,320,armeabi-v7a;armeabi,10;15;16,2.0;;;;;
Pantech,IM-A800S,ef39s,741MB,Phone,Qualcomm APQ8060,800x1280,320,armeabi-v7a;armeabi,10;15;16,2.0;;;;;
Pantech,IM-A830KE,ef45kv,792MB,Phone,Qualcomm MSM8960,720x1280,320,armeabi-v7a;armeabi,16,2.0;;;;;;;
Pantech,IM-A850S,ef48s,1894-1953MB,Phone,Qualcomm APQ8064,720x1280,320,armeabi-v7a;armeabi,15;16;19,2.0;3.0;;;;
Pantech,Flex,oscar,802MB,Phone,Qualcomm MSM8960,540x960,240,armeabi-v7a;armeabi,15;16,2.0;;;;;;
Pantech,IM-A870L,ef52l,1895-1953MB,Phone,Qualcomm APQ8064,720x1280,320,armeabi-v7a;armeabi,16;19,2.0;3.0;;;;;
Pantech,IM-A870K,ef52k,1895-1953MB,Phone,Qualcomm APQ8064,720x1280,320,armeabi-v7a;armeabi,16;19,2.0;3.0;;;;;
Pantech,IM-A910K,ef63k,2856MB,Phone,Qualcomm MSM8974AA,1080x1920,480,armeabi-v7a;armeabi,19,3.0;;;;;;;
Pantech,VEGA Secret UP,ef61k,1865MB,Phone,Qualcomm MSM8974,1080x1920,480,armeabi-v7a;armeabi,19,3.0;;;;;;;
Pantech,VEGA Secret UP,ef62l,1865MB,Phone,Qualcomm MSM8974,1080x1920,480,armeabi-v7a;armeabi,19,3.0;;;;;;;
Pantech,VEGA Secret UP,EF62L,1862MB,Phone,Qualcomm MSM8974,1080x1920,480,armeabi-v7a;armeabi,17,2.0;;;;;;;
Pantech,VEGA Secret UP,EF60S,1862MB,Phone,Qualcomm MSM8974,1080x1920,480,armeabi-v7a;armeabi,17,2.0;;;;;;;
Pantech,VEGA Secret UP,ef60s,1865MB,Phone,Qualcomm MSM8974,1080x1920,480,armeabi-v7a;armeabi,19,3.0;;;;;;;
Pantech,VEGA Secret UP,EF61K,1862MB,Phone,Qualcomm MSM8974,1080x1920,480,armeabi-v7a;armeabi,17,2.0;;;;;;;
Pantech,Vega LTE M,ef65l,741MB,Phone,Qualcomm MSM8660,800x1280,320,armeabi-v7a;armeabi,10;15;16,2.0;;;;;
Pantech,IM-840SP,IM-A840SP,797MB,Phone,Qualcomm MSM8960,720x1280,320,armeabi-v7a;armeabi,16,2.0;;;;;;;
Pantech,IM-A860K,ef51k,1875-1940MB,Phone,Qualcomm APQ8064,1080x1920,480,armeabi-v7a;armeabi,16;19,2.0;3.0;;;;;
Pantech,Element,pororo,,Tablet,Qualcomm APQ8060,1024x768,160,armeabi-v7a;armeabi,13;15,2.0;;;;;;
Pantech,IM-A830S,ef47s,792MB,Phone,Qualcomm MSM8960,720x1280,320,armeabi-v7a;armeabi,15;16,2.0;;;;;;
Pantech,IM-A910L,ef63l,2856MB,Phone,Qualcomm MSM8974AA,1080x1920,480,armeabi-v7a;armeabi,19,3.0;;;;;;;
Pantech,IM-A920S,ef65s,1865MB,Phone,Qualcomm MSM8974AA,1080x1920,480,armeabi-v7a;armeabi,19,3.0;;;;;;;
Pantech,IM-A940K,ef65dk,2883MB,Phone,Qualcomm MSM8974AA,1080x1920,480,armeabi-v7a;armeabi,19,3.0;;;;;;;
Pantech,IM-A775C,ef34c,,Phone,Qualcomm MSM8260,800x480,240,armeabi-v7a;armeabi,15,2.0;;;;;;;
Pantech,IM-A840S,IM-A840S,797MB,Phone,Qualcomm MSM8960,720x1280,320,armeabi-v7a;armeabi,15;16,2.0;;;;;;
Pantech,IM-100GN,ef71g,1893MB,Phone,Qualcomm MSM8937,1080x1920,480,armeabi-v7a;armeabi,23,3.1;;;;;;;
Pantech,IM-100S,ef71s,1893MB,Phone,Qualcomm MSM8937,1080x1920,480,armeabi-v7a;armeabi,23,3.1;;;;;;;
Pantech,IM-A760S,ef33s,751MB,Phone,Qualcomm MSM8260,800x480,240,armeabi-v7a;armeabi,10;15;16,2.0;;;;;
Pantech,IM-A860S,ef51s,1875-1940MB,Phone,Qualcomm APQ8064,1080x1920,480,armeabi-v7a;armeabi,16;19,2.0;3.0;;;;;
Pantech,ADR930L,ADR930L,792MB,Phone,Qualcomm MSM8960,720x1280,320,armeabi-v7a;armeabi,15;16,2.0;;;;;;
Pantech,VEGA RACER,ef35l,751MB,Phone,Qualcomm MSM8660,800x480,240,armeabi-v7a;armeabi,10;15;16,2.0;;;;;
Pantech,VEGA RACER,ef34k,751MB,Phone,Qualcomm MSM8260,800x480,240,armeabi-v7a;armeabi,10;15;16,2.0;;;;;
Pantech,PTL21,maruko,797MB,Phone,Qualcomm MSM8960,720x1184,320,armeabi-v7a;armeabi,15;16,2.0;;;;;;
Pantech,IM-100K,ef71k,1893MB,Phone,Qualcomm MSM8937,1080x1920,480,armeabi-v7a;armeabi,23,3.1;;;;;;;
Pantech,P9090,magnus,797MB,Phone,Qualcomm MSM8960,720x1184,320,armeabi-v7a;armeabi,15;16,2.0;;;;;;
Pantech,IM-810K,ef40k,741MB,Phone,Qualcomm APQ8060,1280x800,320,armeabi-v7a;armeabi,10;15;16,2.0;;;;;
Partner,OT-310,OT-310,,Phone,Qualcomm MSM8960,480x800,213,armeabi-v7a;armeabi,17,2.0;;;;;;;
PC Smart,PCSGOB10SF-A,PCSGOB10SF-A,997MB,Tablet,Intel C3230RK,1280x800,160,x86;armeabi-v7a;armeabi,22,2.0;;;;;;
Pegatron,chagall,chagall,975MB,Tablet,NVidia Tegra 3 T30,1280x800,160,armeabi-v7a;armeabi,13;15;16,2.0;;;;;
Pegatron,Olipad,OP111,,Tablet,NVidia Tegra 3 T30,1280x800,160,armeabi-v7a;armeabi,15,2.0;;;;;;;
Pegatron,MaxiIQ,MaxiIQ,975MB,Tablet,NVidia Tegra 3 T30,1280x800,160,armeabi-v7a;armeabi,16,2.0;;;;;;;
Philips,PI3900/98,PI3900_98,764-859MB,Tablet,Amlogic AML8726-M6,1024x600,160,armeabi-v7a;armeabi,16;17,2.0;;;;;;
Philips,PI3900/58,PI3900_58,764-859MB,Tablet,Amlogic AML8726-M6,1024x600,160,armeabi-v7a;armeabi,16;17,2.0;;;;;;
Philips,Philips S329,Philips_S329,2810MB,Phone,Mediatek MT6750,720x1280,320,arm64-v8a;armeabi-v7a;armeabi,24,3.2;;;;;;
Philips,PI3910,PI3910,1024MB,Tablet,Rockchip RK3188,1024x600,160,armeabi-v7a;armeabi,17,2.0;;;;;;;
Philips,S327,S327,1919MB,Phone,Mediatek MT6737M,720x1280,320,armeabi-v7a;armeabi,24,3.1;;;;;;;
Philips,PI3900/51,PI3900_51,,Tablet,Amlogic AML8726-M6,1024x600,160,armeabi-v7a;armeabi,17,2.0;;;;;;;
Philips,X588,X588_RU,2865-2876MB,Phone,Mediatek MT6750,720x1280,320,arm64-v8a;armeabi-v7a;armeabi,23;24,3.0;3.ﬁub;;;;
Philips,Philips X598,Philips_X598,3803MB,Phone,Mediatek MT6750,1080x1920,480,arm64-v8a;armeabi-v7a;armeabi,24,3.2;;;;;;
Philips,Philips X596,X596,1855MB,Phone,Qualcomm MSM8940,1080x1920,480,arm64-v8a;armeabi-v7a;armeabi,25,3.2;;;;;;
Philips,Philips S318,S318,1919MB,Phone,Mediatek MT6737M,720x1280,320,armeabi-v7a;armeabi,24,3.1;;;;;;;
Phone Max,Rocky_1,Rocky_1,3866MB,Phone,Mediatek MT6750T,1080x1920,480,arm64-v8a;armeabi-v7a;armeabi,24,3.2;;;;;;
Plusone,Kiwami,FTJ152D,2795-2796MB,Phone,Mediatek MT6795,1440x2560,640,arm64-v8a;armeabi-v7a;armeabi,22;23,3.0;;;;;
Plusone,FREETEL SAMURAI KIWAMI 2,SAMURAI_KIWAMI2,3820MB,Phone,Mediatek MT6797,2560x1440,640,arm64-v8a;armeabi-v7a;armeabi,23,3.0;;;;;;
POC,POC2,CBL7509MM,,Phone,Mediatek MT6752,1080x1920,480,arm64-v8a;armeabi-v7a;armeabi,21,3.0;;;;;;
PointMobile,PM80,pm80,1882-1911MB,Phone,Qualcomm APQ8016,720x1280,320,armeabi-v7a;armeabi,21;23,3.0;;;;;;
PointMobile,PM70,pm70,1910MB,Phone,Qualcomm MSM8916,480x800,240,armeabi-v7a;armeabi,23,3.0;;;;;;;
